EmployeeNumber,EducLev,JobGrade,YrsExper,Age,Gender,YrsPrior,IT_Job,Salary
176,Grad Degree,5,8,31,0,0,No,47000
179,Grad Degree,5,8,37,0,2,No,49000
180,Grad Degree,5,8,33,0,0,No,48500
185,Grad Degree,5,8,49,0,4,No,46500
4,Some College,1,8,40,1,7,No,30600
12,Some College,1,8,37,1,8,No,31300
18,Some College,1,8,37,1,9,No,29600
54,HS Diploma,1,8,64,1,0,No,29650
58,HS Diploma,1,8,55,1,0,No,34000
79,Some College,2,8,58,1,0,No,31200
80,Grad Degree,2,8,40,1,0,No,34000
86,HS Diploma,2,8,49,1,0,No,34000
96,Grad Degree,2,8,34,1,0,Yes,37300
144,Some Grad,3,8,40,1,3,No,38000
175,Grad Degree,5,8,37,1,0,No,44500
13,Some College,1,9,37,1,0,No,31200
59,HS Diploma,1,9,39,1,0,No,29600
72,HS Diploma,2,9,50,1,0,No,30800
76,Some College,2,9,46,1,10,No,31700
101,HS Diploma,2,9,38,1,0,No,35300
121,Some College,3,9,59,1,0,No,33700
168,Grad Degree,4,9,39,1,0,No,42700
187,Grad Degree,5,9,37,1,2,No,50000
191,Grad Degree,5,9,37,1,6,No,58500
14,Some College,1,10,58,1,6,No,34700
47,HS Diploma,1,10,40,1,0,No,29900
110,Some College,3,10,43,1,0,No,35600
190,Grad Degree,5,11,36,0,1,No,47000
32,HS Diploma,1,11,44,1,0,No,35400
39,HS Diploma,1,11,40,1,0,No,29500
67,HS Diploma,2,11,53,1,8,No,31500
99,HS Diploma,2,11,43,1,0,No,35000
112,Some Grad,3,11,58,1,4,Yes,41300
84,Some College,2,12,52,0,18,No,34920
198,Grad Degree,6,12,51,0,0,No,60000
3,HS Diploma,1,12,35,1,0,No,33200
29,HS Diploma,1,12,40,1,6,No,34000
127,Some College,3,12,50,1,6,No,37000
167,HS Diploma,4,12,39,1,4,Yes,48000
186,Grad Degree,5,12,40,1,2,No,61500
188,Grad Degree,5,12,46,1,2,No,61800
28,HS Diploma,1,13,48,1,0,No,37600
153,HS Diploma,4,13,50,1,9,No,35500
173,Some College,4,13,40,1,2,No,51200
195,Grad Degree,6,14,49,0,0,No,60000
2,HS Diploma,1,14,38,1,1,No,39100
35,Some College,1,14,42,1,0,No,34300
102,Some College,2,14,60,1,0,No,34100
42,HS Diploma,1,15,51,1,0,No,43600
49,HS Diploma,1,15,42,1,0,No,34000
91,HS Diploma,2,15,47,1,1,Yes,38200
92,HS Diploma,2,15,51,1,0,No,35300
104,Some College,3,15,48,1,5,No,36100
157,Some College,4,15,47,1,4,No,44400
166,Grad Degree,4,15,41,1,0,No,43800
192,Grad Degree,5,16,40,0,7,No,55000
27,Some College,1,16,60,1,6,No,42200
57,Some College,1,16,46,1,0,No,33500
75,Some College,2,16,43,1,0,No,32500
134,HS Diploma,3,16,42,1,6,No,42400
171,Some College,4,16,53,1,1,No,45500
182,Grad Degree,5,16,49,1,5,No,52500
189,Some Grad,5,16,43,1,0,No,43000
46,HS Diploma,1,17,53,0,3,No,38800
194,Grad Degree,5,17,57,0,1,No,57000
69,HS Diploma,2,17,44,1,5,No,32740
34,Some College,1,18,46,1,2,No,38800
45,HS Diploma,1,18,44,1,0,No,45300
197,Grad Degree,6,19,59,0,4,No,59000
36,HS Diploma,1,19,47,1,0,No,35000
199,Grad Degree,6,20,45,0,0,No,65000
200,Grad Degree,6,20,56,0,1,No,52000
202,Some Grad,6,21,53,0,0,No,60000
133,HS Diploma,3,21,51,1,0,No,35300
201,Grad Degree,6,22,57,0,0,No,58000
160,HS Diploma,4,23,55,0,0,No,45500
136,Some College,3,25,62,1,10,No,43500
140,HS Diploma,3,25,53,1,2,No,40660
206,Grad Degree,6,32,62,0,0,No,88000
208,Grad Degree,6,33,62,1,0,No,30000
207,Grad Degree,6,35,59,0,0,No,94000
205,Grad Degree,6,36,61,0,0,No,97000
203,Grad Degree,6,39,65,0,0,No,74000
1,College Degree,1,3,26,0,1,No,32000
5,College Degree,1,3,28,0,0,No,29000
25,College Degree,1,3,24,0,1,No,30750
26,College Degree,1,3,27,0,1,No,29500
33,College Degree,1,3,43,0,8,No,31000
40,College Degree,1,3,26,0,2,No,30500
70,College Degree,2,3,25,0,1,No,33500
93,College Degree,2,3,26,0,2,No,34500
6,College Degree,1,3,24,1,0,No,30500
16,College Degree,1,3,27,1,0,No,31000
37,College Degree,1,3,25,1,2,Yes,34600
123,College Degree,3,3,27,1,2,Yes,38000
74,College Degree,2,4,35,0,0,No,34000
78,College Degree,2,4,22,0,0,No,33000
7,College Degree,1,4,27,1,0,No,30000
15,College Degree,1,4,33,1,0,No,30000
21,College Degree,1,4,36,1,2,No,29500
63,College Degree,2,4,26,1,0,No,28600
65,College Degree,2,4,34,1,4,Yes,37300
100,College Degree,2,4,36,1,3,No,38000
103,College Degree,3,4,43,1,5,Yes,43200
109,College Degree,3,4,37,1,12,No,41000
114,College Degree,3,4,37,1,8,Yes,45800
129,College Degree,3,4,26,1,0,No,36000
48,College Degree,1,5,51,0,10,No,31200
98,College Degree,2,5,27,0,0,No,35500
106,College Degree,3,5,31,0,0,No,36000
120,College Degree,3,5,29,0,0,No,36000
161,College Degree,4,5,52,0,4,No,42500
19,College Degree,1,5,44,1,6,No,32600
41,College Degree,1,5,32,1,1,No,34200
68,College Degree,2,5,32,1,4,Yes,41400
111,College Degree,3,5,33,1,5,No,39800
117,College Degree,3,5,25,1,0,No,38000
165,College Degree,4,6,43,0,4,No,47000
17,College Degree,1,6,30,1,0,No,27000
81,College Degree,2,6,30,1,0,No,33000
119,College Degree,3,6,41,1,0,No,40000
108,College Degree,3,7,35,1,0,No,37500
8,College Degree,1,8,33,0,2,No,27000
126,College Degree,3,8,35,1,2,No,32500
132,College Degree,3,8,47,1,0,No,33800
181,College Degree,5,8,35,1,5,No,45000
10,College Degree,1,9,31,1,0,No,29500
11,College Degree,1,9,34,1,2,No,26800
56,College Degree,1,9,37,1,0,Yes,29800
113,College Degree,3,9,44,1,7,No,42500
172,College Degree,4,11,37,1,0,No,44500
44,College Degree,1,12,37,1,1,No,33000
94,College Degree,2,12,33,1,0,No,30500
196,College Degree,6,13,41,0,0,No,60000
141,College Degree,3,13,38,1,1,No,39700
169,College Degree,4,14,40,1,1,Yes,48500
55,College Degree,1,15,47,1,1,No,29200
170,College Degree,4,16,49,1,0,No,42000
158,College Degree,4,17,44,1,0,No,38000
178,College Degree,5,17,46,1,4,No,43100
60,College Degree,1,18,51,1,0,No,34000
163,College Degree,4,19,59,1,8,Yes,54300
138,College Degree,3,21,60,1,9,No,40300
193,College Degree,5,24,54,0,3,No,57000
164,College Degree,4,26,47,1,0,No,44800
204,College Degree,6,34,60,0,0,No,95000
