_ID,Start_time,Completion_time,Source_of_home_internet,Devices_used_in_the_household,Gender,Age,Annual_household_income,Highest_level_of_education,Housing_situation,Race_ethnicity,Searching_for_information_on_the_Internet,Managing_information_found_on_the_Internet_organizing_saving_and_storing_it_for_reuse,Filling_out_forms_on_the_Internet,Sending_and_receiving_emails,Downloading_content_such_as_receiving_email_attachments_online_forms_video_or_audio,Uploading_content_submitting_homework_sending_attachments_posting_to_discussion_boards,Minimizing_maximizing_and_moving_windows_on_the_computer_screen,Using_the_search_command_to_locate_a_file,Using_safe_online_practices_privacy_and_security,Participating_in_realtime_discussion_or_collaborative_documents,Videoconferencing_or_video_calls_such_as_Zoom_Skype_FaceTime,Audio_calls_audio-only_Zoom_Skype,Streaming_content_movies_or_TV_music_podcasts_live_broadcasts,Working_with_word_processing_applications_Word_Google_Docs,Working_with_spreadsheet_applications_Excel_Google_Sheets,Working_with_presentation_applications_PowerPoint_Google_Slides,Online_banking,Using_online_government_services_finding_tax_information,Online_shopping,Total_Percent_Score
11,7/30/2022 8:07,7/30/2022 8:17,"Broadband service (AT&T, Xfinity, etc.);Mobile data plan;Free or public internet;","Smartphone or mobile phone;Laptop computer;Tablet;Desktop computer;Smart TV (e.g., Roku, Apple TV);Voice-actvated device (e.g., Alexa, Google Home);",Woman,18-29,"$100,000 to $124,999",Bachelor's degree,Own home,White;,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,3,5,0.957894737
12,7/30/2022 8:11,7/30/2022 8:21,"Broadband service (AT&T, Xfinity, etc.);Mobile data plan;","Smartphone or mobile phone;Laptop computer;Tablet;Desktop computer;Smart TV (e.g., Roku, Apple TV);Gaming console that connects to the internet;Voice-actvated device (e.g., Alexa, Google Home);",Woman,40-49,"$30,000 to $59,999",Bachelor's degree,Rent home,White;,5,4,4,5,5,5,5,4,5,5,5,5,5,5,5,4,5,4,5,0.947368421
13,7/30/2022 8:46,7/30/2022 8:48,"Broadband service (AT&T, Xfinity, etc.);","Smartphone or mobile phone;Laptop computer;Smart TV (e.g., Roku, Apple TV);Gaming console that connects to the internet;",Woman,30-39,"$60,000 to $99,999 ",Master's degree,Own home,White;,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1
14,7/30/2022 10:25,7/30/2022 10:28,"Broadband service (AT&T, Xfinity, etc.);","Smartphone or mobile phone;Laptop computer;Smart TV (e.g., Roku, Apple TV);Voice-actvated device (e.g., Alexa, Google Home);",Woman,50-59,"$60,000 to $99,999 ",Master's degree,Own home,White;,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1
15,7/30/2022 15:10,7/30/2022 15:14,"Broadband service (AT&T, Xfinity, etc.);","Smartphone or mobile phone;Laptop computer;Smart TV (e.g., Roku, Apple TV);",Woman,40-49,"$60,000 to $99,999 ",Bachelor's degree,Own home,White;,5,4,5,5,5,5,5,5,4,2,4,4,4,5,4,2,5,5,5,0.873684211
16,7/30/2022 16:10,7/30/2022 16:12,"Broadband service (AT&T, Xfinity, etc.);","Smartphone or mobile phone;Laptop computer;Desktop computer;Smart TV (e.g., Roku, Apple TV);Gaming console that connects to the internet;Voice-actvated device (e.g., Alexa, Google Home);",Woman,18-29,"$60,000 to $99,999 ",Master's degree,Own home,White;,1,2,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,2,1,0.252631579
17,7/31/2022 9:54,7/31/2022 9:59,"Broadband service (AT&T, Xfinity, etc.);",Smartphone or mobile phone;Tablet;Laptop computer;,Man,60-69,"$60,000 to $99,999 ",High school diploma or G.E.D.,Own home,White;,5,3,3,4,4,3,3,3,3,2,4,4,4,3,1,1,2,2,3,0.6
18,8/1/2022 10:13,8/1/2022 10:19,"Broadband service (AT&T, Xfinity, etc.);Mobile data plan;","Smartphone or mobile phone;Laptop computer;Tablet;Smart TV (e.g., Roku, Apple TV);",Woman,50-59,"$60,000 to $99,999 ",Bachelor's degree,Own home,White;,5,4,5,5,5,4,4,4,4,4,4,4,5,5,4,2,4,4,4,0.842105263
19,8/1/2022 12:12,8/1/2022 13:11,"Broadband service (AT&T, Xfinity, etc.);","Laptop computer;Smartphone or mobile phone;Smart TV (e.g., Roku, Apple TV);Gaming console that connects to the internet;",Man,18-29,"$15,000 to $29,999",Some college,Rent home,Black or African American;American Indian or Alaska Native;,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,4,5,0.968421053
20,8/1/2022 8:56,8/1/2022 13:55,"Broadband service (AT&T, Xfinity, etc.);Mobile data plan;","Smartphone or mobile phone;Laptop computer;Tablet;Desktop computer;Smart TV (e.g., Roku, Apple TV);Gaming console that connects to the internet;Voice-actvated device (e.g., Alexa, Google Home);",Woman,18-29,"$100,000 to $124,999",Bachelor's degree,Own home,White;,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1
21,8/1/2022 16:00,8/1/2022 16:06,"Broadband service (AT&T, Xfinity, etc.);","Smartphone or mobile phone;Laptop computer;Tablet;Smart TV (e.g., Roku, Apple TV);Voice-actvated device (e.g., Alexa, Google Home);",Woman,70-79,"$30,000 to $59,999",Master's degree,Own home,White;,5,5,5,5,5,5,5,5,4,4,5,5,5,5,4,2,5,5,5,0.936842105
22,8/2/2022 8:08,8/2/2022 8:10,"Broadband service (AT&T, Xfinity, etc.);","Smartphone or mobile phone;Laptop computer;Tablet;Desktop computer;Smart TV (e.g., Roku, Apple TV);Gaming console that connects to the internet;",Woman,40-49,"$30,000 to $59,999",Bachelor's degree,Own home,Asian or Asian Indian;,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1
23,8/2/2022 9:44,8/2/2022 9:48,I do not have in-home internet;,Smartphone or mobile phone;Laptop computer;Tablet;,Woman,60-69,"$30,000 to $59,999",Master's degree,Own home,White;,5,4,3,5,5,4,4,4,4,2,2,2,3,4,4,3,1,3,4,0.694736842
24,8/3/2022 20:27,8/3/2022 20:29,"Broadband service (AT&T, Xfinity, etc.);","Smartphone or mobile phone;Tablet;Desktop computer;Smart TV (e.g., Roku, Apple TV);",Woman,30-39,"$30,000 to $59,999",High school diploma or G.E.D.,Rent home,White;,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1
25,8/3/2022 20:40,8/3/2022 20:44,"Broadband service (AT&T, Xfinity, etc.);Mobile data plan;","Smartphone or mobile phone;Laptop computer;Tablet;Smart TV (e.g., Roku, Apple TV);Voice-actvated device (e.g., Alexa, Google Home);",Woman,30-39,"$60,000 to $99,999 ",Master's degree,Own home,White;,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1
26,8/8/2022 12:07,8/8/2022 12:10,"Broadband service (AT&T, Xfinity, etc.);","Smartphone or mobile phone;Laptop computer;Tablet;Smart TV (e.g., Roku, Apple TV);",Woman,18-29,"$60,000 to $99,999 ",Bachelor's degree,Rent home,White;,5,5,4,5,5,5,5,5,4,5,4,5,5,5,5,5,4,4,5,0.947368421
27,8/8/2022 12:10,8/8/2022 12:12,Provided by my building;,"Smartphone or mobile phone;Laptop computer;Smart TV (e.g., Roku, Apple TV);Gaming console that connects to the internet;",Man,18-29,"$30,000 to $59,999",Associate's degree,Rent home,White;,5,4,4,5,5,5,5,4,4,4,5,5,5,5,4,4,5,4,5,0.915789474
28,8/8/2022 12:12,8/8/2022 12:15,"Broadband service (AT&T, Xfinity, etc.);",Smartphone or mobile phone;Laptop computer;Gaming console that connects to the internet;,Woman,18-29,"$15,000 to $29,999",Bachelor's degree,Rent home,White;,5,4,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,4,5,0.957894737
29,8/8/2022 12:15,8/8/2022 12:19,"Broadband service (AT&T, Xfinity, etc.);","Smartphone or mobile phone;Laptop computer;Tablet;Gaming console that connects to the internet;Voice-actvated device (e.g., Alexa, Google Home);",Woman,30-39,"$15,000 to $29,999",High school diploma or G.E.D.,Own home,"Hispanic, Spanish, or Latino/a/x;",5,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,4,5,0.947368421
30,8/8/2022 12:22,8/8/2022 12:27,"Broadband service (AT&T, Xfinity, etc.);","Smartphone or mobile phone;Laptop computer;Tablet;Smart TV (e.g., Roku, Apple TV);Gaming console that connects to the internet;",Man,18-29,"$15,000 to $29,999",Some high school,Rent home,Black or African American;,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.8
31,8/8/2022 13:08,8/8/2022 13:11,I do not have in-home internet;,Smartphone or mobile phone;,Woman,18-29,"$30,000 to $59,999",High school diploma or G.E.D.,Rent home,White;,5,3,5,5,4,4,5,4,4,4,4,4,4,4,4,4,5,4,5,0.852631579
32,8/8/2022 12:27,8/8/2022 13:24,"Broadband service (AT&T, Xfinity, etc.);Mobile data plan;Free or public internet;",Laptop computer;Smartphone or mobile phone;,Woman,30-39,"$30,000 to $59,999",Bachelor's degree,Own home,White;,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,0.989473684
33,8/8/2022 13:29,8/8/2022 13:31,I do not have in-home internet;,Smartphone or mobile phone;Tablet;,Woman,30-39,"Under $15,000",High school diploma or G.E.D.,Homeless,Black or African American;,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1
34,8/8/2022 13:31,8/8/2022 13:34,I do not have in-home internet;,"Smartphone or mobile phone;Smart TV (e.g., Roku, Apple TV);",Woman,18-29,"Under $15,000",Some high school,Rent home,White;,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2
35,8/8/2022 13:34,8/8/2022 13:36,"Broadband service (AT&T, Xfinity, etc.);","Smartphone or mobile phone;Laptop computer;Tablet;Desktop computer;Smart TV (e.g., Roku, Apple TV);",Woman,40-49,"$60,000 to $99,999 ",Bachelor's degree,Own home,White;,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1
36,8/8/2022 13:36,8/8/2022 13:38,Mobile data plan;,"Smart TV (e.g., Roku, Apple TV);Gaming console that connects to the internet;Smartphone or mobile phone;",Woman,40-49,"$30,000 to $59,999",High school diploma or G.E.D.,Rent home,White;,3,3,1,4,4,2,4,3,4,3,4,4,4,4,4,2,3,2,4,0.652631579
37,8/8/2022 13:39,8/8/2022 13:44,"Broadband service (AT&T, Xfinity, etc.);",Smartphone or mobile phone;Laptop computer;Tablet;Desktop computer;,Man,60-69,"Under $15,000",Some college,Own home,White;,5,5,4,5,5,5,5,4,4,2,4,2,5,5,5,4,4,2,4,0.831578947
38,8/8/2022 13:44,8/8/2022 13:46,"Broadband service (AT&T, Xfinity, etc.);","Smartphone or mobile phone;Laptop computer;Tablet;Smart TV (e.g., Roku, Apple TV);",Woman,50-59,"$15,000 to $29,999",Some high school,Rent home,Black or African American;,1,1,1,1,1,2,1,2,2,3,3,3,3,2,2,2,3,3,3,0.410526316
39,8/8/2022 13:46,8/8/2022 13:49,I do not have in-home internet;,Smartphone or mobile phone;Laptop computer;Desktop computer;,Woman,40-49,"$100,000 to $124,999",Bachelor's degree,Own home,White;,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,0.978947368
40,8/8/2022 13:49,8/8/2022 13:51,"Broadband service (AT&T, Xfinity, etc.);Mobile data plan;","Laptop computer;Smartphone or mobile phone;Tablet;Voice-actvated device (e.g., Alexa, Google Home);",Man,50-59,"$15,000 to $29,999",Master's degree,Rent home,White;,5,4,5,5,5,5,5,5,2,2,2,2,2,4,1,2,5,5,5,0.747368421
41,8/8/2022 13:51,8/8/2022 13:53,"Broadband service (AT&T, Xfinity, etc.);","Smartphone or mobile phone;Laptop computer;Tablet;Smart TV (e.g., Roku, Apple TV);",Woman,18-29,"Under $15,000",Some college,Group housing,"Black or African American;Hispanic, Spanish, or Latino/a/x;White;",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2
42,8/8/2022 14:16,8/8/2022 14:19,"Broadband service (AT&T, Xfinity, etc.);",Smartphone or mobile phone;,Man,50-59,"Under $15,000",No formal schooling,Insecurely housed,Black or African American;,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2
43,8/8/2022 14:20,8/8/2022 14:36,I don’t know;,Smartphone or mobile phone;,Man,80+,"Under $15,000",No formal schooling,Rent home,White;,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2
44,8/8/2022 14:38,8/8/2022 14:40,"Broadband service (AT&T, Xfinity, etc.);",Smartphone or mobile phone;Laptop computer;Desktop computer;,Woman,60-69,"$30,000 to $59,999",Associate's degree,Rent home,Black or African American;,1,2,2,1,2,2,4,4,4,4,4,4,4,2,4,4,2,4,2,0.589473684
45,8/8/2022 14:40,8/8/2022 14:42,"Broadband service (AT&T, Xfinity, etc.);","Smartphone or mobile phone;Smart TV (e.g., Roku, Apple TV);",Woman,50-59,"$15,000 to $29,999",Associate's degree,Rent home,White;,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1
46,8/8/2022 14:42,8/8/2022 14:44,"Broadband service (AT&T, Xfinity, etc.);","Smartphone or mobile phone;Laptop computer;Tablet;Smart TV (e.g., Roku, Apple TV);Gaming console that connects to the internet;",Woman,50-59,"$30,000 to $59,999",Some college,Rent home,Black or African American;,1,2,1,1,1,1,2,1,1,1,1,1,1,1,2,1,3,1,1,0.252631579
47,8/8/2022 14:44,8/8/2022 14:46,Free or public internet;,Smartphone or mobile phone;,Man,30-39,"Under $15,000",High school diploma or G.E.D.,Homeless,Black or African American;Native Hawaiian or Other Pacific Islander;,2,4,3,5,4,4,4,3,5,5,5,5,5,2,3,5,3,2,4,0.768421053
48,8/8/2022 14:46,8/8/2022 14:48,I do not have in-home internet;,No devices in household;,Man,40-49,"Under $15,000",High school diploma or G.E.D.,Homeless,White;,4,4,3,3,2,2,3,3,3,3,3,4,3,3,2,3,3,3,2,0.589473684
49,8/8/2022 14:48,8/8/2022 14:53,I do not have in-home internet;,No devices in household;,Woman,50-59,"Under $15,000",No formal schooling,Homeless,Black or African American;,3,3,3,4,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3,0.631578947
50,8/8/2022 14:53,8/8/2022 14:55,"Broadband service (AT&T, Xfinity, etc.);","Smartphone or mobile phone;Laptop computer;Tablet;Desktop computer;Smart TV (e.g., Roku, Apple TV);",Woman,30-39,"$15,000 to $29,999",Some college,Rent home,Black or African American;,5,5,5,5,5,5,5,5,5,3,2,2,2,2,2,2,5,5,5,0.789473684
51,8/8/2022 14:55,8/8/2022 14:57,"Broadband service (AT&T, Xfinity, etc.);",Smartphone or mobile phone;Laptop computer;Tablet;,Man,40-49,"$30,000 to $59,999",Master's degree,Own home,Black or African American;,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1
52,8/8/2022 14:57,8/8/2022 15:01,"Broadband service (AT&T, Xfinity, etc.);","Smartphone or mobile phone;Laptop computer;Smart TV (e.g., Roku, Apple TV);",Woman,40-49,"Under $15,000",Some college,Rent home,Black or African American;,5,5,5,5,5,2,4,5,5,5,5,5,5,5,3,1,5,4,5,0.884210526
53,8/8/2022 15:01,8/8/2022 15:02,"Broadband service (AT&T, Xfinity, etc.);",Smartphone or mobile phone;Tablet;Gaming console that connects to the internet;,Woman,50-59,"$15,000 to $29,999",Some college,Own home,Black or African American;,3,3,3,3,3,3,3,3,3,3,3,4,3,3,2,1,1,2,3,0.547368421
54,8/8/2022 15:02,8/8/2022 15:04,Provided by my building;,"Smartphone or mobile phone;Laptop computer;Tablet;Smart TV (e.g., Roku, Apple TV);Voice-actvated device (e.g., Alexa, Google Home);",Man,30-39,"$30,000 to $59,999",Bachelor's degree,Rent home,"Hispanic, Spanish, or Latino/a/x;",5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,0.989473684
55,8/9/2022 12:00,8/9/2022 12:02,I do not have in-home internet;,Smartphone or mobile phone;,Man,18-29,"Under $15,000",No formal schooling,Homeless,Black or African American;,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.2
56,8/9/2022 12:02,8/9/2022 12:04,I do not have in-home internet;,Smartphone or mobile phone;,Woman,30-39,"Under $15,000",Some high school,Rent home,Black or African American;,4,3,5,5,5,5,5,4,4,5,5,4,5,4,5,5,5,4,4,0.905263158
57,8/9/2022 12:05,8/9/2022 12:06,I do not have in-home internet;,Smartphone or mobile phone;,Woman,70-79,"Under $15,000",Master's degree,Own home,"Hispanic, Spanish, or Latino/a/x;Black or African American;Native Hawaiian or Other Pacific Islander;",5,5,5,5,5,5,5,5,5,1,1,4,1,5,5,5,1,5,5,0.821052632
58,8/9/2022 12:06,8/9/2022 12:09,I do not have in-home internet;,Smartphone or mobile phone;,Woman,18-29,"Under $15,000",Some high school,Homeless,Black or African American;,3,3,1,5,5,3,3,3,4,1,5,5,3,3,3,4,3,5,2,0.673684211
59,8/9/2022 20:52,8/9/2022 20:55,"Broadband service (AT&T, Xfinity, etc.);","Smartphone or mobile phone;Laptop computer;Tablet;Smart TV (e.g., Roku, Apple TV);Gaming console that connects to the internet;",Woman,40-49,"$15,000 to $29,999",Associate's degree,Rent home,White;,5,4,4,4,4,4,4,4,5,5,3,3,4,4,2,2,5,5,5,0.8
60,8/10/2022 11:47,8/10/2022 11:49,"Broadband service (AT&T, Xfinity, etc.);","Laptop computer;Smartphone or mobile phone;Tablet;Desktop computer;Smart TV (e.g., Roku, Apple TV);Gaming console that connects to the internet;Voice-actvated device (e.g., Alexa, Google Home);",Woman,30-39,"$30,000 to $59,999",Some college,Rent home,Asian or Asian Indian;,5,5,5,5,5,5,4,5,3,3,4,4,5,4,3,3,4,4,4,0.842105263
61,8/10/2022 15:13,8/10/2022 15:18,"Broadband service (AT&T, Xfinity, etc.);","Smartphone or mobile phone;Laptop computer;Smart TV (e.g., Roku, Apple TV);",Woman,18-29,"$30,000 to $59,999",Bachelor's degree,Rent home,White;,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1
62,8/10/2022 20:45,8/10/2022 20:48,I do not have in-home internet;,Smartphone or mobile phone;Laptop computer;,Woman,30-39,"$30,000 to $59,999",High school diploma or G.E.D.,Own home,"Hispanic, Spanish, or Latino/a/x;White;",5,5,5,5,3,3,3,5,4,3,2,5,2,3,3,2,2,2,3,0.684210526
63,8/11/2022 13:05,8/11/2022 13:07,I do not have in-home internet;,No devices in household;,Man,40-49,"Under $15,000",High school diploma or G.E.D.,Rent home,did not answer;,4,4,4,3,3,3,2,2,2,2,1,1,2,2,2,2,1,3,3,0.484210526
64,8/11/2022 13:07,8/11/2022 13:09,"Broadband service (AT&T, Xfinity, etc.);Mobile data plan;Provided by my building;","Smartphone or mobile phone;Laptop computer;Tablet;Desktop computer;Smart TV (e.g., Roku, Apple TV);Gaming console that connects to the internet;Voice-actvated device (e.g., Alexa, Google Home);",Woman,40-49,"$100,000 to $124,999",Master's degree,Own home,"Hispanic, Spanish, or Latino/a/x;",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.4
65,8/11/2022 13:09,8/11/2022 13:12,I do not have in-home internet;,Smartphone or mobile phone;Tablet;,Woman,40-49,"Under $15,000",Some high school,Rent home,Black or African American;,2,5,1,2,3,4,1,1,5,5,5,5,1,1,1,1,2,2,5,0.547368421
66,8/11/2022 13:12,8/11/2022 13:14,Provided by my building;Free or public internet;I do not have in-home internet;,Smartphone or mobile phone;,Man,18-29,"Under $15,000",High school diploma or G.E.D.,Homeless,Black or African American;,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1
67,8/11/2022 13:14,8/11/2022 13:20,"Broadband service (AT&T, Xfinity, etc.);","Smartphone or mobile phone;Laptop computer;Smart TV (e.g., Roku, Apple TV);",Man,40-49,"$30,000 to $59,999",Bachelor's degree,Rent home,"Hispanic, Spanish, or Latino/a/x;",5,4,3,5,4,5,5,4,4,4,4,4,4,5,4,4,4,4,5,0.852631579
68,8/11/2022 13:20,8/11/2022 13:21,"Broadband service (AT&T, Xfinity, etc.);",Laptop computer;Smartphone or mobile phone;,Woman,60-69,"Under $15,000",Associate's degree,Rent home,Black or African American;,1,2,2,1,1,2,3,3,2,3,4,4,3,4,4,2,1,1,1,0.463157895
70,8/11/2022 13:23,8/11/2022 13:25,"Broadband service (AT&T, Xfinity, etc.);","Smartphone or mobile phone;Laptop computer;Tablet;Smart TV (e.g., Roku, Apple TV);",Woman,30-39,"Under $15,000",Some college,Rent home,Black or African American;,5,5,4,4,3,3,3,3,3,3,4,2,5,3,3,3,3,3,3,0.684210526
71,8/11/2022 13:25,8/11/2022 13:26,I do not have in-home internet;,Smartphone or mobile phone;,Woman,50-59,"$15,000 to $29,999",Some college,Rent home,Black or African American;,2,1,1,1,2,2,1,1,1,1,1,2,2,1,1,2,3,2,1,0.294736842
72,8/11/2022 14:33,8/11/2022 14:37,"Broadband service (AT&T, Xfinity, etc.);","Smartphone or mobile phone;Laptop computer;Tablet;Desktop computer;Smart TV (e.g., Roku, Apple TV);",Woman,50-59,"$15,000 to $29,999",Some college,Own home,White;,1,4,3,5,5,4,4,3,5,3,1,1,5,2,2,2,5,5,5,0.684210526
73,8/11/2022 15:28,8/11/2022 15:35,"Broadband service (AT&T, Xfinity, etc.);",Smartphone or mobile phone;Laptop computer;,Man,80+,"$125,000 or more",Bachelor's degree,Own home,White;,5,4,4,5,5,5,5,4,3,3,4,3,3,5,5,3,4,4,4,0.821052632
74,8/11/2022 15:35,8/11/2022 15:40,"Broadband service (AT&T, Xfinity, etc.);",Desktop computer;,Woman,60-69,"Under $15,000",Associate's degree,Rent home,American Indian or Alaska Native;,2,2,3,5,2,2,1,3,3,3,4,4,1,2,2,2,4,3,5,0.557894737
75,8/11/2022 15:40,8/11/2022 15:44,"Broadband service (AT&T, Xfinity, etc.);",Smartphone or mobile phone;,Woman,80+,"$125,000 or more",High school diploma or G.E.D.,Own home,White;,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.210526316
76,8/11/2022 16:24,8/11/2022 16:26,"Broadband service (AT&T, Xfinity, etc.);","Smartphone or mobile phone;Laptop computer;Desktop computer;Smart TV (e.g., Roku, Apple TV);Gaming console that connects to the internet;",Man,50-59,"$30,000 to $59,999",Bachelor's degree,Rent home,White;,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1
77,8/11/2022 17:41,8/11/2022 17:42,"Broadband service (AT&T, Xfinity, etc.);","Laptop computer;Smartphone or mobile phone;Tablet;Smart TV (e.g., Roku, Apple TV);Voice-actvated device (e.g., Alexa, Google Home);",Woman,18-29,"$30,000 to $59,999",Some college,Own home,White;,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1
78,8/11/2022 18:49,8/11/2022 18:52,"Broadband service (AT&T, Xfinity, etc.);","Smartphone or mobile phone;Laptop computer;Tablet;Desktop computer;Smart TV (e.g., Roku, Apple TV);Voice-actvated device (e.g., Alexa, Google Home);",Man,70-79,"$125,000 or more",Master's degree,Own home,White;,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1
